timestamp,comment-id,voter-id,vote
1477593856721,2,12,-1
1477594905737,2,14,-1
1477596737121,2,15,0
1477597786465,2,17,1
1477610581999,2,18,1
1477615009996,2,19,1
1477642126103,2,20,-1
1477649887822,2,21,-1
1477657832575,2,22,1
1477665843395,2,23,-1
1477682852130,2,24,-1
1477681255247,2,25,-1
1477686479749,2,26,-1
1477692918310,2,27,-1
1477705187445,2,29,-1
1477707466733,2,31,0
1477710697849,2,33,1
1477711054711,2,34,0
1477714124525,2,35,1
1477755777530,2,36,0
1477785444093,2,37,-1
1477762951587,2,38,1
1477762514977,2,39,1
1477762528945,2,40,-1
1477763431111,2,41,-1
1477948073562,2,43,1
1477948537689,2,44,0
1477988642647,2,45,1
1478011564276,2,48,1
1477505521599,3,0,0
1477573323543,3,1,1
1477576623717,3,3,1
1477577601808,3,4,-1
1477577983871,3,5,1
1477580685662,3,7,1
1477581250862,3,8,1
1477584961711,3,9,1
1477592888920,3,11,1
1477593823543,3,12,1
1477594029819,3,13,1
1477594897229,3,14,1
1477596512253,3,15,1
1477597811657,3,17,-1
1477610594664,3,18,1
1477615243773,3,19,1
1477642184453,3,20,1
1477649876260,3,21,1
1477665875382,3,23,1
1477682729662,3,24,1
1477681325877,3,25,1
1477686387632,3,26,1
1477704758136,3,29,1
1477707541678,3,31,1
1477710713762,3,33,1
1477714317528,3,35,-1
1477755667780,3,36,1
1477785228202,3,37,1
1477762787340,3,38,-1
1477762619383,3,39,1
1477762719589,3,40,1
1477763397366,3,41,0
1477948538455,3,44,0
1477988384508,3,45,-1
1478011569840,3,48,1
1478020197934,3,49,1
1477505532166,4,0,0
1477573294230,4,1,1
1477576633889,4,3,1
1477577532498,4,4,-1
1477577782483,4,5,0
1477579866176,4,6,-1
1477580717173,4,7,1
1477581220403,4,8,1
1477584928705,4,9,1
1477592959837,4,11,1
1477593752716,4,12,1
1477594808772,4,14,-1
1477596492000,4,15,-1
1477597871816,4,17,1
1477610607743,4,18,1
1477615212746,4,19,-1
1477642109428,4,20,1
1477649872141,4,21,-1
1477657805189,4,22,1
1477665897520,4,23,1
1477682692883,4,24,1
1477681179248,4,25,1
1477686399640,4,26,1
1477692851464,4,27,1
1477704697724,4,29,1
1477704758970,4,30,1
1477707484874,4,31,1
1477710732723,4,33,1
1477714332486,4,35,1
1477755637872,4,36,1
1477785448845,4,37,1
1477763072466,4,38,-1
1477762537962,4,39,1
1477762642109,4,40,1
1477763515412,4,41,-1
1477948259588,4,43,0
1477948432904,4,44,1
1477988623371,4,45,1
1478011568901,4,48,1
1478020175061,4,49,-1
1477505542346,5,0,0
1477573427207,5,1,-1
1477576435951,5,2,-1
1477576618933,5,3,-1
1477577551545,5,4,-1
1477577772510,5,5,-1
1477579761027,5,6,1
1477580800031,5,7,0
1477581197933,5,8,-1
1477584938693,5,9,-1
1477592988203,5,11,1
